,date,price,buysell,balance
0,2017-04-24,409.7749938964844,buy,0.0
1,2017-06-06,444.7250061035156,sell,34.95001220703125
2,2017-07-06,420.32501220703125,buy,34.95001220703125
3,2017-07-19,447.70001220703125,sell,62.32501220703125
4,2017-09-06,425.5249938964844,buy,62.32501220703125
5,2017-10-06,453.95001220703125,sell,90.75003051757812
6,2017-11-15,424.17498779296875,buy,90.75003051757812
7,2018-01-05,450.0249938964844,sell,116.60003662109375
8,2018-03-07,474.7749938964844,buy,116.60003662109375
9,2018-04-12,505.0249938964844,sell,146.85003662109375
10,2018-05-23,447.17498779296875,buy,146.85003662109375
11,2018-06-15,474.1499938964844,sell,173.82504272460938
12,2018-10-30,502.42498779296875,buy,173.82504272460938
13,2018-12-10,471.0,sell,142.40005493164062
14,2019-04-02,551.2999877929688,buy,142.40005493164062
15,2019-04-30,591.6749877929688,sell,182.77505493164062
16,2019-05-31,546.2750244140625,buy,182.77505493164062
17,2019-07-05,508.20001220703125,sell,144.70004272460938
18,2019-07-09,510.375,buy,144.70004272460938
19,2019-08-08,544.125,sell,178.45004272460938
20,2019-10-04,539.5499877929688,buy,178.45004272460938
21,2019-10-30,573.375,sell,212.27505493164062
22,2019-12-18,564.7000122070312,buy,212.27505493164062
23,2020-01-17,598.7999877929688,sell,246.37503051757812
24,2020-03-17,450.6499938964844,buy,246.37503051757812
25,2020-03-19,413.45001220703125,sell,209.175048828125
26,2020-12-07,855.2999877929688,buy,209.175048828125
27,2020-12-22,913.7999877929688,sell,267.675048828125
28,2021-02-22,920.1500244140625,buy,267.675048828125
29,2021-03-10,988.5,sell,336.0250244140625
30,2021-05-10,913.9500122070312,buy,336.0250244140625
31,2021-06-09,971.2999877929688,sell,393.375
32,2021-11-09,1172.800048828125,buy,393.375
33,2021-11-22,1110.0999755859375,sell,330.6749267578125
34,2022-02-08,1161.949951171875,buy,330.6749267578125
35,2022-02-24,1098.550048828125,sell,267.2750244140625
